Start of new run - 12/12/2011 6:53:31 PM
iterationVoltage no=1, best_conf_fitness=0.32535211267606 ,e1=151 ,e2=19 ,e3=31
iterationVoltage no=2, best_conf_fitness=0.33191489361702 ,e1=33.029685354167 ,e2=0 ,e3=200
iterationVoltage no=3, best_conf_fitness=0.33191489361702 ,e1=33.029685354167 ,e2=0 ,e3=200
iterationVoltage no=4, best_conf_fitness=0.33661971830986 ,e1=0 ,e2=200 ,e3=197.74595772399
iterationVoltage no=5, best_conf_fitness=0.33661971830986 ,e1=0 ,e2=200 ,e3=197.74595772399
iterationVoltage no=6, best_conf_fitness=0.33661971830986 ,e1=0 ,e2=200 ,e3=197.74595772399
iterationVoltage no=7, best_conf_fitness=0.33661971830986 ,e1=0 ,e2=200 ,e3=197.74595772399
iterationVoltage no=8, best_conf_fitness=0.33661971830986 ,e1=0 ,e2=200 ,e3=197.74595772399
iterationVoltage no=9, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=10, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=11, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=12, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=13, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=14, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=15, best_conf_fitness=0.35636856368564 ,e1=0 ,e2=178.43755107499 ,e3=136.02004572905
iterationVoltage no=1, best_conf_fitness=0.33787465940054 ,e1=141 ,e2=133 ,e3=91
iterationVoltage no=2, best_conf_fitness=0.33787465940054 ,e1=141 ,e2=133 ,e3=91
iterationVoltage no=3, best_conf_fitness=0.33787465940054 ,e1=141 ,e2=133 ,e3=91
iterationVoltage no=4, best_conf_fitness=0.33787465940054 ,e1=141 ,e2=133 ,e3=91
iterationVoltage no=5, best_conf_fitness=0.33850493653032 ,e1=187.72674916191 ,e2=130.97702759367 ,e3=35.034973311312
iterationVoltage no=6, best_conf_fitness=0.33850493653032 ,e1=187.72674916191 ,e2=130.97702759367 ,e3=35.034973311312
iterationVoltage no=7, best_conf_fitness=0.33850493653032 ,e1=187.72674916191 ,e2=130.97702759367 ,e3=35.034973311312
iterationVoltage no=8, best_conf_fitness=0.34688346883469 ,e1=124.64442143628 ,e2=66.947602819548 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=10, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=11, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=12, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=13, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=14, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=15, best_conf_fitness=0.35203366058906 ,e1=200 ,e2=49.969172719003 ,e3=147.00710290426
iterationVoltage no=1, best_conf_fitness=0.32673267326733 ,e1=95 ,e2=196 ,e3=68
iterationVoltage no=2, best_conf_fitness=0.33652530779754 ,e1=86.9 ,e2=164.5 ,e3=200
iterationVoltage no=3, best_conf_fitness=0.33652530779754 ,e1=86.9 ,e2=164.5 ,e3=200
iterationVoltage no=4, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.34116022099448 ,e1=0 ,e2=126.88899938732 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.32602739726027 ,e1=120 ,e2=20 ,e3=112
iterationVoltage no=2, best_conf_fitness=0.32602739726027 ,e1=120 ,e2=20 ,e3=112
iterationVoltage no=3, best_conf_fitness=0.32602739726027 ,e1=120 ,e2=20 ,e3=112
iterationVoltage no=4, best_conf_fitness=0.32602739726027 ,e1=120 ,e2=20 ,e3=112
iterationVoltage no=5, best_conf_fitness=0.32602739726027 ,e1=120 ,e2=20 ,e3=112
iterationVoltage no=6, best_conf_fitness=0.32821229050279 ,e1=98.232927953694 ,e2=9.7624700888583 ,e3=143.41757039507
iterationVoltage no=7, best_conf_fitness=0.33195592286501 ,e1=174.01826160515 ,e2=0 ,e3=129.1016619418
iterationVoltage no=8, best_conf_fitness=0.33287101248266 ,e1=200 ,e2=0 ,e3=198.57714032984
iterationVoltage no=9, best_conf_fitness=0.33287101248266 ,e1=200 ,e2=0 ,e3=198.57714032984
iterationVoltage no=10, best_conf_fitness=0.33381712626996 ,e1=149.72792535851 ,e2=0 ,e3=200
iterationVoltage no=11, best_conf_fitness=0.33381712626996 ,e1=149.72792535851 ,e2=0 ,e3=200
iterationVoltage no=12, best_conf_fitness=0.33425797503467 ,e1=96.564136902845 ,e2=80.152701202416 ,e3=92.773956677873
iterationVoltage no=13, best_conf_fitness=0.33425797503467 ,e1=96.564136902845 ,e2=80.152701202416 ,e3=92.773956677873
iterationVoltage no=14, best_conf_fitness=0.33425797503467 ,e1=96.564136902845 ,e2=80.152701202416 ,e3=92.773956677873
iterationVoltage no=15, best_conf_fitness=0.33614627285513 ,e1=138.4143208649 ,e2=0 ,e3=168.8408834852
iterationVoltage no=16, best_conf_fitness=0.33986013986014 ,e1=98.023664918571 ,e2=61.718199165639 ,e3=79.383246786398
iterationVoltage no=17, best_conf_fitness=0.33986013986014 ,e1=98.023664918571 ,e2=61.718199165639 ,e3=79.383246786398
iterationVoltage no=18, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=19, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=20, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=21, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=22, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=23, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=24, best_conf_fitness=0.34582132564842 ,e1=166.59845736511 ,e2=3.7069321613878 ,e3=136.881109377
iterationVoltage no=1, best_conf_fitness=0.32664756446991 ,e1=140 ,e2=143 ,e3=75
iterationVoltage no=2, best_conf_fitness=0.32664756446991 ,e1=140 ,e2=143 ,e3=75
iterationVoltage no=3, best_conf_fitness=0.32664756446991 ,e1=140 ,e2=143 ,e3=75
iterationVoltage no=4, best_conf_fitness=0.32664756446991 ,e1=140 ,e2=143 ,e3=75
iterationVoltage no=5, best_conf_fitness=0.32664756446991 ,e1=140 ,e2=143 ,e3=75
iterationVoltage no=6, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=7, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=8, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=9, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=10, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=11, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=12, best_conf_fitness=0.35142469470828 ,e1=200 ,e2=200 ,e3=183.2431546138
iterationVoltage no=1, best_conf_fitness=0.34401114206128 ,e1=23 ,e2=125 ,e3=175
iterationVoltage no=2, best_conf_fitness=0.34401114206128 ,e1=23 ,e2=125 ,e3=175
iterationVoltage no=3, best_conf_fitness=0.34401114206128 ,e1=23 ,e2=125 ,e3=175
iterationVoltage no=4, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=5, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=6, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=7, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=8, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=9, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=10, best_conf_fitness=0.35119887165021 ,e1=124.11839813635 ,e2=0 ,e3=200
iterationVoltage no=1, best_conf_fitness=0.32316227461859 ,e1=186 ,e2=46 ,e3=75
iterationVoltage no=2, best_conf_fitness=0.33380681818182 ,e1=200 ,e2=0 ,e3=200
iterationVoltage no=3, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=4, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=5, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=6, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=7, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=8, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=9, best_conf_fitness=0.33823529411765 ,e1=165.81550988568 ,e2=0 ,e3=150.94239027914
iterationVoltage no=1, best_conf_fitness=0.33193277310924 ,e1=124 ,e2=197 ,e3=194
iterationVoltage no=2, best_conf_fitness=0.33193277310924 ,e1=124 ,e2=197 ,e3=194
iterationVoltage no=3, best_conf_fitness=0.33473980309423 ,e1=200 ,e2=179.71083049809 ,e3=200
iterationVoltage no=4, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=5, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=6, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=7, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=8, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=9, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=10, best_conf_fitness=0.35610465116279 ,e1=200 ,e2=143.19917832968 ,e3=200
iterationVoltage no=1, best_conf_fitness=0.31534090909091 ,e1=46 ,e2=115 ,e3=56
iterationVoltage no=2, best_conf_fitness=0.32661870503597 ,e1=53.2 ,e2=117.7 ,e3=83.9
iterationVoltage no=3, best_conf_fitness=0.32661870503597 ,e1=53.2 ,e2=117.7 ,e3=83.9
iterationVoltage no=4, best_conf_fitness=0.3300283286119 ,e1=25.786432927781 ,e2=200 ,e3=5.9465727456611
iterationVoltage no=5, best_conf_fitness=0.3300283286119 ,e1=25.786432927781 ,e2=200 ,e3=5.9465727456611
iterationVoltage no=6, best_conf_fitness=0.3300283286119 ,e1=25.786432927781 ,e2=200 ,e3=5.9465727456611
iterationVoltage no=7, best_conf_fitness=0.3300283286119 ,e1=25.786432927781 ,e2=200 ,e3=5.9465727456611
iterationVoltage no=8, best_conf_fitness=0.3300283286119 ,e1=25.786432927781 ,e2=200 ,e3=5.9465727456611
iterationVoltage no=9, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.34435261707989 ,e1=0 ,e2=200 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=2, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=3, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=4, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=5, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=6, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=7, best_conf_fitness=0.34487534626039 ,e1=157 ,e2=76 ,e3=192
iterationVoltage no=1, best_conf_fitness=0.33093525179856 ,e1=177 ,e2=163 ,e3=16
iterationVoltage no=2, best_conf_fitness=0.33093525179856 ,e1=177 ,e2=163 ,e3=16
iterationVoltage no=3, best_conf_fitness=0.33093525179856 ,e1=177 ,e2=163 ,e3=16
iterationVoltage no=4, best_conf_fitness=0.35492957746479 ,e1=57.049790582644 ,e2=125.51555955708 ,e3=26.495643324019
iterationVoltage no=5, best_conf_fitness=0.35492957746479 ,e1=57.049790582644 ,e2=125.51555955708 ,e3=26.495643324019
iterationVoltage no=6, best_conf_fitness=0.35492957746479 ,e1=57.049790582644 ,e2=125.51555955708 ,e3=26.495643324019
iterationVoltage no=7, best_conf_fitness=0.35492957746479 ,e1=57.049790582644 ,e2=125.51555955708 ,e3=26.495643324019
iterationVoltage no=8, best_conf_fitness=0.35492957746479 ,e1=57.049790582644 ,e2=125.51555955708 ,e3=26.495643324019
iterationVoltage no=9, best_conf_fitness=0.35492957746479 ,e1=57.049790582644 ,e2=125.51555955708 ,e3=26.495643324019
iterationVoltage no=10, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.35843793584379 ,e1=76.410193133135 ,e2=150.18803925252 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.32137931034483 ,e1=88 ,e2=196 ,e3=28
iterationVoltage no=2, best_conf_fitness=0.3385269121813 ,e1=57.61655323954 ,e2=114.83874019593 ,e3=77.413989684744
iterationVoltage no=3, best_conf_fitness=0.3385269121813 ,e1=57.61655323954 ,e2=114.83874019593 ,e3=77.413989684744
iterationVoltage no=4, best_conf_fitness=0.3385269121813 ,e1=57.61655323954 ,e2=114.83874019593 ,e3=77.413989684744
iterationVoltage no=5, best_conf_fitness=0.3385269121813 ,e1=57.61655323954 ,e2=114.83874019593 ,e3=77.413989684744
iterationVoltage no=6, best_conf_fitness=0.34048640915594 ,e1=60.690390935472 ,e2=64.426849231926 ,e3=94.594347208405
iterationVoltage no=7, best_conf_fitness=0.34588563458856 ,e1=7.7923757296034 ,e2=133.12090487733 ,e3=177.58498496713
iterationVoltage no=8, best_conf_fitness=0.34588563458856 ,e1=7.7923757296034 ,e2=133.12090487733 ,e3=177.58498496713
iterationVoltage no=9, best_conf_fitness=0.34653465346535 ,e1=0 ,e2=150.09511826307 ,e3=96.898119542646
iterationVoltage no=10, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=11, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=12, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=13, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=14, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=15, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=16, best_conf_fitness=0.35640648011782 ,e1=19.061334250713 ,e2=187.20559435423 ,e3=163.88618931376
iterationVoltage no=1, best_conf_fitness=0.3099173553719 ,e1=137 ,e2=77 ,e3=64
iterationVoltage no=2, best_conf_fitness=0.32102272727273 ,e1=0 ,e2=0 ,e3=200
iterationVoltage no=3, best_conf_fitness=0.33286713286713 ,e1=200 ,e2=200 ,e3=178.20243382197
iterationVoltage no=4, best_conf_fitness=0.33614627285513 ,e1=64.74817224607 ,e2=0 ,e3=200
iterationVoltage no=5, best_conf_fitness=0.33614627285513 ,e1=64.74817224607 ,e2=0 ,e3=200
iterationVoltage no=6, best_conf_fitness=0.33891213389121 ,e1=155.95842645143 ,e2=73.870492911035 ,e3=200
iterationVoltage no=7, best_conf_fitness=0.33891213389121 ,e1=155.95842645143 ,e2=73.870492911035 ,e3=200
iterationVoltage no=8, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=9, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=10, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=11, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=12, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=13, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=14, best_conf_fitness=0.33908045977011 ,e1=153.3656083935 ,e2=25.3623451389 ,e3=200
iterationVoltage no=1, best_conf_fitness=0.32618025751073 ,e1=81 ,e2=106 ,e3=187
iterationVoltage no=2, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
iterationVoltage no=3, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
iterationVoltage no=4, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
iterationVoltage no=5, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
iterationVoltage no=6, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
