Start of new run - 12/13/2011 11:49:38 AM
iterationVoltage no=1, best_conf_fitness=0.70124481327801 ,e1=138 ,e2=17 ,e3=13
iterationVoltage no=2, best_conf_fitness=0.74965034965035 ,e1=184.50371715445 ,e2=0 ,e3=89.01397747734
iterationVoltage no=3, best_conf_fitness=0.76437587657784 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.79125528913963 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.79125528913963 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.79603399433428 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.79722222222222 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.79722222222222 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.80332409972299 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.64040114613181 ,e1=142 ,e2=71 ,e3=28
iterationVoltage no=2, best_conf_fitness=0.64040114613181 ,e1=142 ,e2=71 ,e3=28
iterationVoltage no=3, best_conf_fitness=0.69857142857143 ,e1=200 ,e2=124.96947545854 ,e3=33.726739485964
iterationVoltage no=4, best_conf_fitness=0.7977369165488 ,e1=200 ,e2=171.28357110705 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.7977369165488 ,e1=200 ,e2=171.28357110705 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.82947976878613 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.63318777292576 ,e1=198 ,e2=44 ,e3=187
iterationVoltage no=2, best_conf_fitness=0.66113416320885 ,e1=191.7329996643 ,e2=63.518506424146 ,e3=77.886324655904
iterationVoltage no=3, best_conf_fitness=0.68067226890756 ,e1=200 ,e2=6.3851622058779 ,e3=127.28401684622
iterationVoltage no=4, best_conf_fitness=0.68705547652916 ,e1=200 ,e2=0 ,e3=166.78149264865
iterationVoltage no=5, best_conf_fitness=0.71188811188811 ,e1=200 ,e2=0 ,e3=150.17211172639
iterationVoltage no=6, best_conf_fitness=0.72083333333333 ,e1=200 ,e2=0 ,e3=135.22366889636
iterationVoltage no=7, best_conf_fitness=0.72830725462304 ,e1=200 ,e2=0 ,e3=86.962277715827
