Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
1	0.35636856368564	107	128	187	-78	-143	25
2	0.35203366058906	114	123	145	-80	52	93
3	0.34116022099448	56	88	110	-142	129	-9
4	0.34582132564842	59	106	148	-134	-46	-77
5	0.35142469470828	51	56	163	161	103	-84
6	0.35119887165021	107	162	179	-21	109	97
7	0.33823529411765	39	54	129	-60	-70	73
8	0.35610465116279	94	129	133	46	-31	-14
9	0.34435261707989	49	64	163	-149	128	-68
10	0.34487534626039	25	60	174	-79	-90	-57
11	0.35843793584379	54	106	151	-33	100	-4
12	0.35640648011782	29	103	148	-112	-44	-88
13	0.33908045977011	46	52	125	1	-66	91
14	0.37199434229137	89	128	159	-26	8	61
15	0.33193277310924	34	90	134	32	-1	29
16	0.35087719298246	49	87	114	-50	92	-54
17	0.34177215189873	82	110	174	50	-21	30
18	0.33190271816881	38	75	143	-153	-83	79
19	0.34880450070323	35	84	142	-24	-22	-18
20	0.3562412342216	102	119	133	-102	-130	18
1	0.35989010989011	32.529483932005	50	190	-74.470516067995	-128.7	15.856975005341
2	0.35112359550562	29.530518509476	100	190	-84.469481490524	49.293896298105	90.682909634693
3	0.35652173913043	25	100	116.03234351634	-118.2822992645	127.63660695212	6.0323435163427
4	0.34850640113798	25	71.987829218421	100	-110.52568742943	-34.012170781579	-65.60608539079
5	0.33143669985775	150	100	100	159.57720572527	120.50944242683	-77.144969023713
6	0.34854771784232	81.277007354961	100	190	-25.722992645039	85.212125003815	79.718897061068
7	0.34716459197787	25	50	190	-30.044495986816	-27.545854060488	80.07330240791
8	0.34571428571429	134.44080324717	100	125.38782311472	40.440803247169	-28.091839350566	-7.6121768852809
9	0.35085227272727	25	100	100.25075838496	-118.6075838496	139.98786584063	-62.74924161504
10	0.34545454545455	25	50	116.53419293802	-44.792556535539	-53.04834131901	-57.465807061983
11	0.33983286908078	28.933625293741	100	148.45911435286	-25.066374706259	92.912564470351	-2.540885647145
12	0.34334763948498	25	71.820056764428	100	-80.591863765374	-31.179943235572	-75.495175023652
13	0.34180790960452	62.776155888546	50	190	16.776155888546	-31.339817499313	94.453239539781
14	0.36475409836066	65.6	100	190	-23.4	7.2	54.9
15	0.34453781512605	69.587087618641	93.789260536515	163.18503982665	35.587087618641	3.7892605365154	29.185039826655
16	0.35386819484241	25	100	100	-38.968932157353	88.981844538713	-41.815048677023
17	0.34756995581738	129.01548814356	96.282683797723	190	47.015488143559	-13.717316202277	22.681096835231
18	0.35571428571429	25	50	190	-117.24365672781	-53.441447187719	77.517676320689
19	0.34453781512605	25	67.774571977905	127.18108462783	-17.213025299844	-16.225428022095	-14.818915372173
20	0.35723951285521	25	50	160.23891109958	-97.319455549791	-113.17883846553	27.238911099582
1	0.3433908045977	25	50	190	-44.236722817132	-84.355772881252	1.762289803766
2	0.35399449035813	25	100	190	-53.670095962695	50.567009186071	69.713361308634
3	0.34776334776335	25	100	138.6245183229	-80.889812616352	126.05730857265	22.592174806554
4	0.34807417974322	25	60.845322825752	100	-77.228299203467	-11.142506392669	-38.538533890805
5	0.33908045977011	150	100	100	114.52817987609	111.87129764702	-44.933246253853
6	0.34716459197787	59.859153845866	100	190	-21.417853509094	81.184640949736	70.070259407331
7	0.34936350777935	25	50	190	-24.864198736534	-22.139454329051	71.012045960875
8	0.34405594405594	150	84.960009460738	126.00073875121	20.950510418192	-15.039990539262	0.61291563649311
9	0.34396671289875	25	100	100	-101.77108767968	128.16596453749	-51.906804620066
10	0.34964028776978	25	50	100	-8.4890874965667	-8.9577471236305	-30.602962206964
11	0.35041551246537	36.253663844271	100	150.92658201019	7.32003855053	96.052827539903	2.4674676573397
12	0.34887005649718	25	56.98647010764	100	-64.775397198401	-14.833586656788	-50.514244819483
13	0.35123367198839	77.933919323229	50	190	15.157763434683	-28.029682912687	84.937906125065
14	0.34861111111111	55.324124271371	100	190	-10.275875728629	19.384080324717	35.123339640492
15	0.35138888888889	105.42908740497	100	188.62943445039	35.841999786334	10.130953701177	25.444394623732
16	0.34273624823695	25	100	100	-14.853648487808	88.929205908383	-18.994715109714
17	0.34017595307918	150	96.980430488775	190	25.858093425261	0.69774669105131	7.6646427808466
18	0.34943181818182	25	50	190	-83.614325693533	-21.400625934629	59.155691091647
19	0.35177304964539	38.771651966918	82.641172671328	131.18446934115	13.771651966918	14.866600693424	4.003384713323
20	0.33715925394548	25	50	184.6658344413	-83.036589861751	-96.314520706809	24.426923341715
1	0.35082872928177	25	50	184.91955183569	-24.590340827856	-59.146398785363	-5.0804481643117
2	0.3410740203193	25	100	190	-42.634944638467	47.990120273446	59.996519028291
3	0.36072423398329	25	100	163.41071090546	-50.245455519272	123.31955464339	24.786192582559
4	0.34453781512605	25	56.394678965372	100	-65.169399456771	-4.4506438603797	-30.687366130558
5	0.34887005649718	150	100	100	77.382252967925	92.428679128391	-22.931217749565
6	0.34293552812071	55.681975073235	100	190	-4.1771787726315	89.7522878811	52.106099765007
7	0.33333333333333	25	50	190	-20.266386303293	-17.352249214148	62.888135593738
8	0.34537572254335	129.54917561527	100	141.61376221368	-20.450824384728	15.403000594548	15.613023462467
9	0.34826589595376	25	100	100	-90.829307138279	115.68391198462	-45.984294403383
10	0.34788732394366	49.103954069643	80.626189458907	101.72145645399	24.103954069643	30.626189458907	1.7214564539927
11	0.35203366058906	61.876793918517	100	155.90142894573	25.623130074246	96.345869319742	4.9748469355303
12	0.34507042253521	25	69.736961698945	100	-45.538129703665	12.750491591305	-20.970938261055
13	0.35644937586685	91.760132831545	50	190	13.826213508316	-23.928182561724	75.928032258065
14	0.35386819484241	69.643193795462	100	190	14.319069524092	37.040886989959	9.9163036896878
15	0.34439834024896	137.5299517484	100	190	32.10086434343	9.3853225481065	22.616926108257
16	0.36519258202568	25	100	100	-1.7233970152898	85.13092321543	-6.3601137424848
17	0.35422740524781	140.42033355652	100	183.23592684713	-9.5796664434815	14.100403503265	-6.7640731528672
18	0.33943661971831	25	65.696252967925	190	-46.570377178259	15.696252967925	39.347028321177
19	0.35180055401662	73.900494329009	100	147.37738146044	35.128842362091	33.910253686355	16.192912119288
20	0.35642135642136	25	50	190	-49.077851069674	-55.415940122684	8.3939583475026
1	0.34924965893588	25	50	177.26946418596	-13.637271333397	-43.28864540849	-7.6500876497241
2	0.35704125177809	25	100	190	-15.619779286227	53.144964259774	42.976526538896
3	0.35318559556787	25	100	185.50634342588	-42.145620804468	112.33303818781	22.095632520426
4	0.33943661971831	25	64.626466976439	100	-49.640465736869	8.2317880110674	-19.31069775689
5	0.36043360433604	150	100	100	43.349105951109	75.535760860012	-2.4267583483383
6	0.34301521438451	63.332957702177	100	190	7.6509826289418	93.392708984649	42.171743336283
7	0.35211267605634	25	52.818322244942	190	-3.1133094882046	2.8183222449416	49.272453538621
8	0.35064935064935	88.58669471916	100	160.51536059282	-40.962480896111	30.338520720035	18.901598379138
9	0.35714285714286	25	100	100	-68.14830519425	110.06467694937	-28.810732801698
10	0.35352112676056	73.213402071517	100	115.23378952192	24.109448001874	29.914506344877	13.51233306793
11	0.35416666666667	93.290247354445	100	160.51662634398	31.413453435928	98.21692526017	4.6151973982553
12	0.33751743375174	25	100	117.44887964721	-10.696722507401	44.664109191291	17.448879647206
13	0.34691011235955	102.97039618709	63.317902700888	190	11.210263355548	13.317902700888	54.483289580981
14	0.34944751381215	94.135519902677	100	180.338959035	24.492326107214	50.123895065157	-9.6610409649953
15	0.34002869440459	150	100	190	14.197012044713	15.12100520464	12.832460568701
16	0.34826589595376	54.022141331217	100	122.4605651326	29.022141331217	89.993605301065	22.460565132603
17	0.34487734487734	117.54101357465	100	170.42822214821	-22.87931998187	20.454088852575	-12.807704698923
18	0.34685314685315	25	100	190	-11.655580129399	43.36558160127	20.756223313089
19	0.34833091436865	112.02983368926	100	166.96458010599	38.129339360253	42.597416738997	19.587198645555
20	0.35488505747126	25	50	186.87205232736	-31.578861397137	-34.528815546129	-3.127947672643
1	0.34110787172012	30.429238343033	50	165.73255942456	5.4292383430334	-17.632195186926	-11.536904761402
2	0.34326241134752	39.074893121598	100	190	14.074893121598	60.138521668447	25.052099996643
3	0.35497237569061	25	100	190	-9.4272591695914	113.57014667409	5.1388736780344
