Start of new run - 12/13/2011 11:49:38 AM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
1	0.80332409972299	61	133	138	39	-149	41
2	0.82947976878613	66	83	180	-65	-138	-40
3	0.84647887323944	95	124	142	31	85	-43
4	0.90409026798307	41	77	120	88	-77	18
5	0.81560283687943	42	107	152	47	-88	4
6	0.86962750716332	50	83	132	99	-116	-10
7	0.8575624082232	69	80	146	64	94	-37
8	0.80477528089888	50	50	147	-102	-45	90
9	0.81285714285714	43	94	116	126	66	-36
10	0.80200860832138	95	95	125	-2	-60	-31
11	0.84438040345821	78	100	121	17	91	-43
12	0.86889818688982	74	104	164	105	-101	-6
13	0.80736543909348	103	111	145	-8	103	6
14	0.85880640465793	81	109	136	-110	95	-89
15	0.80494505494505	28	52	116	50	-125	-82
16	0.80857142857143	54	63	133	175	148	-84
17	0.84172661870504	69	71	131	-20	-82	33
18	0.84492753623188	90	138	165	-149	-134	-40
19	0.85880640465793	41	89	154	125	-62	71
20	0.86600846262341	31	84	107	120	-126	89
1	0.81715893108298	94.592385631886	50	173.5431470687	33.592385631886	-138.32132023072	35.543147068697
2	0.78766140602583	25	50	137.41441084017	-61.243995483261	-124.85855891598	-42.585589159825
3	0.8060522696011	96.761903744621	100	100	1.7619037446211	53.750175481429	-49.348854029969
4	0.61808367071525	120.2	50	136.2	79.2	-69.3	16.2
5	0.83379120879121	84.092291024506	50	148.9533127842	42.092291024506	-85.431269264809	-3.0466872157964
6	0.49416909620991	137.24902188177	50	120.5320291757	87.249021881771	-105.63398541215	-11.467970824305
7	0.5679012345679	124.86490066225	100	111.08883632923	55.864900662252	84.414096499527	-34.911163670766
8	0.78521617852162	25	50	190	-95.552632221442	-29.242103335673	69.742103335673
9	0.51020408163265	150	100	100	112.55155491806	52.188216803491	-30.703109836116
10	0.83092485549133	87.413873714408	50	100	-7.5861262855922	-55.928708761864	-28.435752433851
11	0.79390420899855	90.631171605579	100	100	12.631171605579	80.24099856563	-38.772130497147
12	0.50769230769231	150	50	138.29328897977	79.269966734825	-103.36093630787	-25.706711020234
13	0.85443959243086	74.26357615894	100	141.71595812861	-28.73642384106	80.889703054903	-3.284041871395
14	0.80845070422535	25	100	100	-103.93484298227	81.552125614185	-82.073937192908
15	0.82821229050279	75.078127384259	50	100	47.078127384259	-108.50360118412	-73.160576189459
16	0.51382823871907	150	100	100	152.82818079165	138.23118991668	-80.27181920835
17	0.8160237388724	48.230506302072	50	159.61198461867	-20.769493697928	-73.20653706473	28.611984618671
18	0.78179190751445	25	50	120.79227576525	-143.03729972228	-131.72602618488	-44.207724234748
19	0.50977653631285	150	50	190	112.5	-57.792614520707	58.254258857997
20	0.50916784203103	139.73442793054	50	188.0547563097	108.73442793054	-113.91409955138	81.054756309702
1	0.6273381294964	119.12397148617	50	190	24.531585854282	-121.61672505875	26.292509516237
2	0.81715893108298	25	50	106.51051042741	-46.90238349559	-105.29748405408	-30.903900412762
3	0.83475783475783	85.283074218434	100	100	-11.478829526187	47.26222113712	-32.57473403119
4	0.51763046544429	150	50	147.4468550676	54.984624774926	-56.814758445997	11.246855067599
5	0.7246790299572	112.91028253939	50	140.12055711473	28.81799151488	-71.208312021241	-8.8327556694698
6	0.49929873772791	150	50	112.84286863403	52.558382592195	-85.806687215796	-7.6891605416649
7	0.56402877697842	126.95505941307	100	100	2.0901587508188	62.096195257424	-22.207481147747
8	0.70554765291607	25	50	190	-80.412420728172	-19.944666890469	43.13457289346
9	0.50822122571001	150	100	100	87.611136814478	44.550681173132	-25.224522232734
10	0.86206896551724	63.220287736484	50	100	-24.193585977924	-40.233600878933	-18.109038666952
11	0.83861671469741	89.057589069195	100	100	-1.573582536384	67.291134983367	-26.767081514939
12	0.52503576537911	150	50	109.11342935271	17.185802789392	-76.824760277108	-29.179859627057
13	0.82571428571429	33.669376341122	100	129.14298817764	-40.594199817819	62.614737693411	-12.572969950964
14	0.81449275362319	25	100	100	-81.421701712088	73.679337443159	-65.442677999207
15	0.76190476190476	103.98910533331	50	100	28.910977949053	-86.989448225349	-57.945412762841
16	0.5080058224163	150	100	100	67.292696920682	106.55244788965	-56.568429517502
17	0.72625698324022	29.417361847692	50	165.66775363312	-18.81314445438	-52.261322061831	6.0557690144445
18	0.83286908077994	25	50	100	-118.85300393689	-104.25932584613	-35.073018916738
19	0.53495007132668	150	50	190	75.06165807062	-44.81197973571	37.634631488998
20	0.50584795321637	150	50	190	19.383933361408	-79.897093722343	17.188987023201
1	0.53711790393013	132.46314598846	50	190	13.339174502295	-108.92851670888	17.457539571809
2	0.83048433048433	25	50	103.3617647667	-25.324248786889	-75.963402020325	-3.1487456607154
3	0.87034482758621	71.059979514327	100	100	-14.223094704107	46.172831812494	-13.710375652333
4	0.52653631284916	138.70370128483	50	142.26363565536	-11.296298715171	-36.077076662496	-5.1832194122338
5	0.55474452554745	125.9089390445	50	129.83292749404	12.998656505116	-60.050706015198	-10.287629620694
6	0.5042735042735	150	50	108.59748706031	11.630511495059	-68.172458510086	-4.2453815737241
7	0.81843575418994	91.34710506522	100	100	-35.60795434785	44.649965727714	-2.5404791800101
8	0.80200860832138	25	50	190	-66.366280434584	-16.640040589618	26.431372875149
9	0.50404312668464	150	100	100	15.422846400342	28.304530564287	-11.413078035829
10	0.83764367816092	35.772485193924	50	100	-27.44780254256	-29.316246833705	-11.191472609638
11	0.84604105571848	82.227675797356	100	100	-6.8299132718386	58.660153752251	-19.702159611805
12	0.79915730337079	99.346463820307	50	100.86687240772	-50.653536179693	-44.277020416883	-8.2465569449867
13	0.82535211267606	25	100	118.9554779923	-26.360490720595	52.276479354228	-10.187510185337
14	0.81077348066298	25	100	100	-63.293460188604	58.976414227729	-49.082632129887
15	0.72551724137931	107.49789614953	50	100	3.5087908162225	-71.900385296182	-47.417450666829
16	0.52639087018545	132.09383587146	100	100	-17.906164128544	74.352487380596	-31.931002441481
17	0.7886524822695	29.833137078244	50	138.30038308467	0.41577523055181	-27.484999114963	-27.36737054845
18	0.83734087694484	25	50	100	-91.033165746025	-72.040128696554	-15.466074091625
19	0.47093023255814	150	50	190	16.851381420331	-27.34608374279	2.5129603869747
20	0.49645390070922	140.09588030665	50	186.62817114812	-9.904119693352	-64.254019684439	-3.371828851884
1	0.55426917510854	131.43121636911	50	190	-1.0319296193481	-96.31062154912	8.113467235475
2	0.82033426183844	25	50	107.05406080167	-16.515997619556	-57.776604956206	3.692296034969
3	0.79859154929577	46.35611391934	100	100	-24.703865594987	32.44806244087	-4.4197848780786
4	0.82051282051282	96.888213330262	50	130.38695635478	-41.815487954567	-23.723353187658	-11.876679300583
5	0.77363896848138	105.64102373166	50	119.7301890482	-20.267915312844	-45.466561955626	-10.102738445841
6	0.80559646539028	100.57355794375	50	113.94092991736	-49.426442056253	-44.675809601123	5.3434428570528
7	0.84011220196353	33.550256461969	100	111.18522619824	-57.796848603251	27.566481041902	11.185226198241
8	0.7836676217765	25	50	190	-51.549135407575	-11.990273415326	5.020145741142
9	0.52022315202232	135.89429203772	100	100	-14.105707962279	20.594906390576	-5.3615617908261
10	0.83194444444444	25	50	100	-17.179279325905	-18.547148472549	-4.266789291055
11	0.87394957983193	70.877437917158	100	100	-11.350237880199	49.891324570452	-15.207757731864
12	0.80691642651297	44.864437097878	50	109.80540911819	-54.482026722429	-25.367522666097	8.9385367104646
13	0.80590717299578	25	100	110.88920887347	-14.777178425179	36.065448747215	-8.0662691188316
14	0.80681818181818	25	100	100	-50.611845118564	53.019206778161	-39.680310870693
15	0.82087447108604	85.17555726938	50	100	-22.322338880153	-54.876733680227	-35.391547758415
16	0.83611111111111	60.576349048118	100	100	-71.517486823338	50.536706399731	-14.379611844234
17	0.8050139275766	43.898727728382	50	105.97421341785	14.065590650138	-10.731799353008	-32.32616966682
18	0.83825597749648	25	50	100.97937971788	-68.704027460555	-44.697543482772	0.97937971787929
19	0.62553802008608	120.08893684194	50	164.33334011963	-29.911063158055	-13.085394250313	-25.666659880367
