Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
1	0.30594900849858	107	48	147	-123	-135	-84
2	0.32244318181818	12	198	171	117	6	98
3	0.31205673758865	58	28	13	22	75	125
4	0.30867709815078	94	30	74	85	120	-44
5	0.3091922005571	200	137	117	-197	166	27
6	0.28530259365994	55	63	136	69	-53	195
7	0.28551724137931	68	36	183	40	-37	-99
8	0.32535211267606	151	19	31	-57	-106	115
9	0.30099857346648	34	128	129	-164	117	121
10	0.31383737517832	47	131	76	-51	-179	191
1	0.31001371742112	9.2151890621662	0	37.350865199744	-97.784810937834	-130.01228370006	-109.64913480026
2	0.31285714285714	120.54306466872	199.2236793115	200	108.54306466872	1.2236793115024	84.933603930784
3	0.29461756373938	88.850614947966	94.430585650197	127.63882869961	30.850614947966	66.430585650197	114.63882869961
4	0.2909604519774	188.63834040345	134.49961851863	20.716690572832	94.638340403455	104.49961851863	-53.283309427168
5	0.28451882845188	21.010190130314	200	138.33421124912	-178.98980986969	145.33066194647	21.334211249123
6	0.29208633093525	119.92284005249	14.006198309275	200	64.922840052492	-48.993801690725	172.41251869259
7	0.30939226519337	119.4515213477	0	65.603238013855	51.451521347697	-36.464769432661	-117.39676198614
8	0.31015299026426	99.7	0	134.5	-51.3	-95.4	103.5
9	0.32667617689016	0	195.62885219886	200	-107.16399731437	67.628852198859	75.030527665029
10	0.33191489361702	33.029685354167	0	200	-13.970314645833	-195.4858149968	158.08427076022
1	0.31734837799718	0	0	0	-81.02267266244	-117.01105533006	-50.986979085798
2	0.3020979020979	193.10551773662	166.44662872656	200	72.5624530679	-32.777050584946	73.689549241615
3	0.31179775280899	102.40503488101	126.43031448802	200	13.554419933046	31.999728837823	80.910299091834
4	0.30878186968839	200	165.81652732326	43.406995298617	16.557946536156	31.316908804624	22.690304725785
5	0.28511235955056	0	200	169.09994402603	-129.05629888054	71.794208197272	30.765732776911
6	0.31914893617021	168.97645603768	0	200	49.05361598519	-45.605878695688	155.17126682333
7	0.29312762973352	161.69883097037	0	0	42.247309622668	-32.818292489395	-99.344740540889
8	0.28774928774929	49.994091285767	0	200	-49.705908714233	-85.503043305765	95.626230658895
9	0.30888575458392	0	183.26012221145	200	-84.082759929292	-12.368729987405	67.527474898526
10	0.30555555555556	20.456402172918	0	200	-12.573283181249	-175.93723349712	142.27584368419
1	0.31564245810056	0	0	24.408053549794	-61.311076308274	-105.30994979705	24.408053549794
2	0.29624277456647	189.5961353593	104.19150186369	200	-3.5093823773254	-62.255126862863	61.203134678182
3	0.29577464788732	81.643422465477	93.617124268513	200	-20.761612415534	-32.813190219507	56.313025095611
4	0.29207232267038	151.26214029735	130.80149469838	123.51301443892	-48.737859702646	-35.015032624871	80.106019140305
5	0.33661971830986	0	200	197.74595772399	-86.855739227158	14.169055391095	28.646013697951
6	0.32959326788219	184.20900198969	0	200	15.232545952003	-41.045290826119	139.654140141
7	0.27731092436975	182.7040641887	0	0	21.005233218337	-29.536463240455	-62.972210746995
8	0.32463768115942	6.5658707064795	0	200	-43.428220579288	-75.576229071932	73.819914242988
9	0.32080924855491	0	158.62229678365	200	-72.648417606421	-24.637825427806	60.774727408673
10	0.30383480825959	13.541614442344	0	200	-6.9147877305736	-158.3435101474	128.04825931578
1	0.28275862068966	0	0	89.656191211454	-55.179968677446	-40.071474730674	65.24813766166
2	0.29903978052126	131.34859420462	76.752330250997	200	-58.247541154676	-27.439171612696	49.450368794897
3	0.28688524590164	17.751836236731	101.01354749224	200	-63.891586228746	7.3964232237275	6.9634077390442
4	0.30926430517711	56.407428346579	134.3575011819	200	-94.854711950775	3.5560064835171	85.607034620303
5	0.31392045454545	0	200	200	-78.170165304442	12.752149851985	25.781412328156
6	0.33238636363636	148.89633535979	16.283518782632	200	-35.312666629893	16.283518782632	125.08887723481
7	0.32378223495702	145.04827183747	35.098142585528	4.532446291567	-37.655792351228	35.098142585528	4.532446291567
8	0.31019830028329	0	0	200	-36.452410747922	-50.078965672781	62.486773756152
9	0.29676511954993	0	146.35597704628	200	-65.383575845779	-12.266319737368	54.199799706443
10	0.31363636363636	7.3933351386657	0	200	-6.1482793036786	-82.277828830836	114.56461355999
1	0.31484049930652	0	0	139.84560252364	-49.661971809702	-7.1114173177282	50.189411312185
2	0.29957203994294	23.491853116605	105.34196817983	200	-107.85674108802	28.589637928833	39.858080228587
3	0.33189033189033	0	105.93444309694	161.75753078601	-50.779175004153	4.9208956046954	-38.242469213993
