Start of new run - 12/13/2011 11:45:33 AM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
1	0.43628808864266	143	154	27	29	89	-127
2	0.41751824817518	144	174	28	94	-17	-194
3	0.45378151260504	182	160	24	9	46	116
4	0.39655172413793	92	146	195	137	83	-28
5	0.38919667590028	122	116	199	107	189	8
6	0.43905817174515	137	71	120	-51	-133	-198
7	0.39218523878437	117	159	34	187	-14	135
8	0.4198250728863	11	18	70	77	-117	132
9	0.41310541310541	109	183	200	-12	-2	107
10	0.4249649368864	72	102	54	141	17	32
1	0.44027777777778	170.77642750328	200	0	27.776427503281	80.357911923582	-114.42895596179
2	0.46122448979592	200	156.77263405255	0	89.831421857356	-17.227365947447	-175.15067598498
3	0.43618513323983	190.1	200	128.4	8.1	41.4	104.4
4	0.43909348441926	200	200	86.658836634419	167.05850703452	81.506878872036	-108.34116336558
5	0.42385057471264	200	200	192.61582995087	100.95742973113	173.5154484695	-6.3841700491348
6	0.48587570621469	108.58596148564	0	0	-28.414038514359	-85.116653950621	-215.5033845027
7	0.44366197183099	200	146.76275826289	151.87241737114	191.87928708762	-12.237241737114	117.87241737114
8	0.5014245014245	124.88827478866	0	176.80549333171	113.88827478866	-68.273479415265	106.80549333171
9	0.38975817923186	131.39052705466	170.74271065401	200	22.390527054659	-12.257289345988	16.279003265481
10	0.48691860465116	200	126.75396282846	77.910019226661	144.82992950224	24.753962828455	23.910019226661
