Start of new run - 12/14/2011 4:56:11 PM
width, voltage, fitness
30, 0, 1
30, 1, 1
30, 2, 1
30, 3, 1
30, 4, 1
30, 5, 1
30, 6, 1
30, 7, 1
30, 8, 1
30, 9, 1
30, 10, 1
30, 11, 1
30, 12, 1
30, 13, 1
30, 14, 1
30, 15, 1
30, 16, 1
30, 17, 1
30, 18, 1
30, 19, 1
34, 0, 1
34, 1, 1
34, 2, 1
34, 3, 1
34, 4, 1
34, 5, 1
34, 6, 1
34, 7, 1
34, 8, 1
34, 9, 1
34, 10, 1
34, 11, 1
34, 12, 1
34, 13, 1
34, 14, 1
34, 15, 1
34, 16, 1
34, 17, 1
34, 18, 1
34, 19, 1
38, 0, 1
38, 1, 1
38, 2, 1
38, 3, 1
38, 4, 1
38, 5, 1
38, 6, 1
38, 7, 1
38, 8, 1
38, 9, 1
38, 10, 1
38, 11, 1
38, 12, 1
38, 13, 1
38, 14, 1
38, 15, 1
38, 16, 1
38, 17, 1
38, 18, 1
38, 19, 1
42, 0, 1
42, 1, 1
42, 2, 1
42, 3, 1
42, 4, 1
42, 5, 1
42, 6, 1
42, 7, 1
42, 8, 1
42, 9, 1
42, 10, 1
