Start of new run - 12/15/11 16:32:02
width, voltage, fitness
30, 0, 0, -1.#IND
30, 0, 0.5, 1
30, 0, 1, 1
30, 0, 1.5, 1
30, 0, 2, 1
30, 0, 2.5, 1
30, 0, 3, 1
30, 0, 3.5, 1
30, 0, 4, 1
30, 0, 4.5, 1
30, 0, 5, 1
30, 0, 5.5, 1
30, 0, 6, 1
30, 0, 6.5, 0.99846625766871
30, 0, 7, 0.98427672955975
30, 0, 7.5, 0.97335423197492
30, 0, 8, 0.93665158371041
30, 0, 8.5, 0.87981510015408
30, 0, 9, 0.88317757009346
30, 0, 9.5, 0.80982567353407
30, 0, 10, 0.76751117734724
30, 0, 10.5, 0.73798449612403
30, 0, 11, 0.70588235294118
30, 0, 11.5, 0.66518518518519
30, 0, 12, 0.66666666666667
30, 0, 12.5, 0.66246056782334
30, 0, 13, 0.62640901771337
30, 0, 13.5, 0.60802469135802
30, 0, 14, 0.678125
30, 0, 14.5, 0.65912518853695
30, 0, 15, 0.66201550387597
30, 0, 15.5, 0.64451313755796
30, 0, 16, 0.62861491628615
30, 0, 16.5, 0.62616822429907
30, 0, 17, 0.60675883256528
30, 0, 17.5, 0.6555023923445
30, 0, 18, 0.61526946107784
30, 0, 18.5, 0.61751152073733
30, 0, 19, 0.61806656101426
30, 0, 19.5, 0.63197586726998
30, 0, 20, 0.58578052550232
30, 0, 20.5, 0.61645962732919
30, 0, 21, 0.57585139318885
30, 0, 21.5, 0.60935143288084
30, 0, 22, 0.61984732824427
30, 0, 22.5, 0.58615384615385
30, 0, 23, 0.58408408408408
30, 0, 23.5, 0.59034267912773
30, 0, 24, 0.57250755287009
30, 0, 24.5, 0.54354354354354
30, 0, 25, 0.58132530120482
30, 0, 25.5, 0.56535433070866
30, 0, 26, 0.55140186915888
30, 0, 26.5, 0.54658385093168
30, 0, 27, 0.59119496855346
30, 0, 27.5, 0.55538922155689
30, 0, 28, 0.53620955315871
30, 0, 28.5, 0.52187028657617
30, 0, 29, 0.54166666666667
30, 0, 29.5, 0.50078247261346
30, 0, 30, 0.56671664167916
30, 0, 30.5, 0.53984962406015
30, 0, 31, 0.4891975308642
30, 0, 31.5, 0.51597444089457
30, 0, 32, 0.52688172043011
30, 0, 32.5, 0.52365930599369
30, 0, 33, 0.4894578313253
30, 0, 33.5, 0.50678733031674
30, 0, 34, 0.52234206471495
30, 0, 34.5, 0.4601226993865
30, 0, 35, 0.4704
30, 0, 35.5, 0.4671875
30, 0, 36, 0.49373040752351
30, 0, 36.5, 0.47568389057751
30, 0, 37, 0.47337278106509
30, 0, 37.5, 0.4984126984127
30, 0, 38, 0.51309707241911
30, 0, 38.5, 0.50462962962963
30, 0, 39, 0.46381093057607
30, 0, 39.5, 0.4688995215311
30, 0, 40, 0.44923076923077
30, 0, 40.5, 0.49025974025974
30, 0, 41, 0.50888529886914
30, 0, 41.5, 0.47085201793722
30, 0, 42, 0.44444444444444
30, 0, 42.5, 0.45201238390093
30, 0, 43, 0.48030303030303
30, 0, 43.5, 0.48714069591528
30, 0, 44, 0.48130841121495
30, 0, 44.5, 0.44204018547141
30, 0, 45, 0.42644873699851
30, 0, 45.5, 0.47058823529412
30, 0, 46, 0.43872919818457
30, 0, 46.5, 0.46366279069767
30, 0, 47, 0.44325153374233
30, 0, 47.5, 0.43720930232558
30, 0, 48, 0.42080745341615
30, 0, 48.5, 0.45762711864407
30, 0, 49, 0.42987804878049
30, 0, 49.5, 0.44702467343977
30, 1, 0, -1.#IND
30, 1, 0.5, 1
30, 1, 1, 1
30, 1, 1.5, 1
30, 1, 2, 1
30, 1, 2.5, 1
30, 1, 3, 1
30, 1, 3.5, 1
30, 1, 4, 1
30, 1, 4.5, 1
30, 1, 5, 1
30, 1, 5.5, 1
30, 1, 6, 1
30, 1, 6.5, 1
30, 1, 7, 0.99066874027994
30, 1, 7.5, 0.9742033383915
30, 1, 8, 0.95962732919255
30, 1, 8.5, 0.91770186335404
30, 1, 9, 0.87949921752739
30, 1, 9.5, 0.85846153846154
30, 1, 10, 0.76582278481013
30, 1, 10.5, 0.7411575562701
30, 1, 11, 0.70471841704718
30, 1, 11.5, 0.69598765432099
30, 1, 12, 0.66612903225806
30, 1, 12.5, 0.65950920245399
30, 1, 13, 0.67400881057269
30, 1, 13.5, 0.67840735068913
30, 1, 14, 0.69090909090909
30, 1, 14.5, 0.6629392971246
