Start of new run - 12/14/11 17:16:21
width, voltage, fitness
30, 0, 0.5908950139362
30, 5, 0.64860728497092
30, 10, 0.68375540457072
30, 15, 0.73661800486618
30, 20, 0.75196612220206
30, 25, 0.78723404255319
30, 30, 0.80409175449473
30, 35, 0.8210200927357
30, 40, 0.82445334154604
30, 45, 0.82521578298397
30, 50, 0.83052921382686
30, 55, 0.84544618215271
30, 60, 0.85935131858139
30, 65, 0.86275115919629
30, 70, 0.86747361887027
30, 75, 0.86436007348438
30, 80, 0.8787416004887
30, 85, 0.86776602364655
30, 90, 0.87576687116564
30, 95, 0.87469512195122
34, 0, 0.5854478752675
34, 5, 0.6480965645311
34, 10, 0.7090683998762
34, 15, 0.72958091159376
34, 20, 0.78450138931769
34, 25, 0.80918399007136
34, 30, 0.82565067419254
34, 35, 0.84288299155609
34, 40, 0.84347294405381
34, 45, 0.83581635755549
34, 50, 0.85364360073484
34, 55, 0.8768337408313
34, 60, 0.88505747126437
34, 65, 0.88422971741112
34, 70, 0.88674625038261
34, 75, 0.89265195040822
34, 80, 0.89736519607843
34, 85, 0.87710695678823
34, 90, 0.87546125461255
34, 95, 0.86293024672556
38, 0, 0.59666666666667
38, 5, 0.66358879655279
38, 10, 0.714375
38, 15, 0.74220698254364
38, 20, 0.7885035926273
38, 25, 0.8147465437788
38, 30, 0.83338428615102
38, 35, 0.8384805435454
38, 40, 0.84806201550388
38, 45, 0.85762607626076
38, 50, 0.88861232109521
38, 55, 0.89025157232704
38, 60, 0.8978527607362
38, 65, 0.90372193171332
38, 70, 0.9019668100799
38, 75, 0.89329268292683
38, 80, 0.89093137254902
38, 85, 0.87369391518132
38, 90, 0.86221677893448
38, 95, 0.83440073193047
42, 0, 0.5841279606275
42, 5, 0.66253101736973
42, 10, 0.71502276176024
42, 15, 0.77097576134245
42, 20, 0.7934086054318
42, 25, 0.83338419285932
42, 30, 0.8531684698609
42, 35, 0.8583664729275
42, 40, 0.86927509857446
42, 45, 0.88522061092255
42, 50, 0.90760197775031
42, 55, 0.91173766472571
42, 60, 0.9190345249007
42, 65, 0.92638973732437
42, 70, 0.90562003665241
42, 75, 0.89834660134721
42, 80, 0.89331698344574
42, 85, 0.86973525872443
42, 90, 0.83979089790898
42, 95, 0.77526679221594
46, 0, 0.57804726368159
46, 5, 0.67063129002745
46, 10, 0.71341463414634
46, 15, 0.77750460971112
46, 20, 0.81255828411564
46, 25, 0.84313725490196
46, 30, 0.84148240423544
46, 35, 0.87388769561215
46, 40, 0.89505611161662
46, 45, 0.91874422899354
46, 50, 0.93347639484979
46, 55, 0.93397099660599
46, 60, 0.93614421020471
46, 65, 0.92396385166719
46, 70, 0.90681332111213
46, 75, 0.8960396039604
46, 80, 0.88773006134969
46, 85, 0.85805277525023
46, 90, 0.81025015253203
46, 95, 0.71657919110837
50, 0, 0.60159362549801
50, 5, 0.67762753534112
50, 10, 0.72883473914402
50, 15, 0.78005506271031
50, 20, 0.82754342431762
50, 25, 0.84765983481187
50, 30, 0.85657613671041
50, 35, 0.89233128834356
50, 40, 0.93105570944906
50, 45, 0.9401364764268
50, 50, 0.95450381679389
50, 55, 0.96229913473424
50, 60, 0.94428969359331
50, 65, 0.91929499072356
50, 70, 0.90999072069285
50, 75, 0.89067325509574
50, 80, 0.88346799254195
50, 85, 0.83777239709443
50, 90, 0.74848484848485
50, 95, 0.66935985083903
54, 0, 0.58499095840868
54, 5, 0.67627427184466
54, 10, 0.74638989169675
54, 15, 0.78375
54, 20, 0.84785909505011
54, 25, 0.8426862925483
54, 30, 0.88023764853033
54, 35, 0.92251372788286
54, 40, 0.93955362678239
54, 45, 0.96211426825542
54, 50, 0.96503067484663
54, 55, 0.95823095823096
54, 60, 0.94723774053383
54, 65, 0.93106646058733
54, 70, 0.91730710113741
